SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),6102 Wakefield Ave,Cleveland,OH,44102,299900,3,2,Cleveland,,,1946,3,,,Active,,,https://www.redfin.com/OH/Cleveland/6102-Wakefield-Ave-44102/home/70720643,Yes-MLS,4451704,N,Y,41.4791068,-81.7285412
MLS Listing,,Single Family Residential,1376 W 74th St,Cleveland,OH,44102,425000,3,2.5,Taft,1750,,1900,6,243,,Active,April-23-2023 02:00 PM,April-23-2023 04:00 PM,https://www.redfin.com/OH/Cleveland/1376-W-74th-St-44102/home/70719985,Yes-MLS,4450551,N,Y,41.483276,-81.7355939
MLS Listing,,Single Family Residential,3318 W 90th St,Cleveland,OH,44102,135000,4,1,Cleveland,1167,3049,1914,6,116,,Active,,,https://www.redfin.com/OH/Cleveland/3318-W-90th-St-44102/home/66275988,Yes-MLS,4447273,N,Y,41.4631683,-81.7459913
MLS Listing,,Vacant Land,3273 W 48 St,Cleveland,OH,44102,44000,,,Cleveland,,10018,,7,,,Active,,,https://www.redfin.com/OH/Cleveland/3273-W-48th-St-44102/home/70738643,Yes-MLS,4451103,N,Y,41.4646551,-81.7196262
MLS Listing,,Multi-Family (2-4 Unit),6818 Lorain Ave,Cleveland,OH,44102,215000,5,3.5,James M Hoyt Sub,2989,4621,1910,7,72,,Active,,,https://www.redfin.com/OH/Cleveland/6818-Lorain-Ave-44102/home/185099294,Yes-MLS,4451069,N,Y,41.473887,-81.7330002
MLS Listing,,Single Family Residential,5516 Tillman Ave,Cleveland,OH,44102,104900,3,1,S S Stones,994,3036,1900,7,106,,Active,,,https://www.redfin.com/OH/Cleveland/5516-Tillman-Ave-44102/home/66544787,Yes-MLS,4450999,N,Y,41.4866022,-81.7252505
MLS Listing,,Single Family Residential,7200 Clark Ave,Cleveland,OH,44102,30000,3,1,Cleveland,1775,4482,1900,7,17,,Active,,,https://www.redfin.com/OH/Cleveland/7200-Clark-Ave-44102/home/70725223,Yes-MLS,4451003,N,Y,41.4697837,-81.735305
MLS Listing,,Single Family Residential,4710 Fenwick Ave,Cleveland,OH,44102,199900,3,2,Taylor & Hoyts Allotment,1462,4181,1900,7,137,,Active,,,https://www.redfin.com/OH/Cleveland/4710-Fenwick-Ave-44102/home/70725287,Yes-MLS,4449037,N,Y,41.473779,-81.7192307
MLS Listing,,Single Family Residential,1340 W 59th St,Cleveland,OH,44102,650000,3,3,Jacob B Perkins Sub,2905,4199,1910,7,224,,Active,April-23-2023 03:00 PM,April-23-2023 05:00 PM,https://www.redfin.com/OH/Cleveland/1340-W-59th-St-44102/home/70720225,Yes-MLS,4449654,N,Y,41.4864222,-81.7276087
MLS Listing,,Single Family Residential,7506 Grace Ave,Cleveland,OH,44102,159900,3,2,Langhorn & Dixons,1368,4373,1900,8,117,,Active,,,https://www.redfin.com/OH/Cleveland/7506-Grace-Ave-44102/home/66422348,Yes-MLS,4434156,N,Y,41.4718186,-81.7364217
MLS Listing,,Condo/Co-op,1257 W 74th St,Cleveland,OH,44102,294900,2,2.5,Battery Park Twnhms Condo,1257,16204,2010,9,235,316,Active,,,https://www.redfin.com/OH/Cleveland/1257-W-74th-St-44102/home/184725716,Yes-MLS,4444850,N,Y,41.4865613,-81.7352606
MLS Listing,,Single Family Residential,3453 W 60th St,Cleveland,OH,44102,100000,4,2,Hoyt,1408,5039,1910,9,71,,Active,,,https://www.redfin.com/OH/Cleveland/3453-W-60th-St-44102/home/66185253,Yes-MLS,4450178,N,Y,41.460337,-81.7281307
MLS Listing,,Multi-Family (2-4 Unit),5309-5311-5315 Franklin Blvd,Cleveland,OH,44102,1075000,5,3.5,James M Hoyts & J Wade Jrs A,4070,7405,1903,10,264,,Active,,,https://www.redfin.com/OH/Cleveland/5309-Franklin-Blvd-44102/home/70721081,Yes-MLS,4449949,N,Y,41.4834984,-81.723207
MLS Listing,,Condo/Co-op,7523 Battery Park Blvd Unit H-7523,Cleveland,OH,44102,385000,2,2.5,Battery Park Twnhms Condo,1688,53622,2014,13,228,441,Active,April-22-2023 12:00 PM,April-22-2023 02:00 PM,https://www.redfin.com/OH/Cleveland/7523-Battery-Park-Blvd-44102/unit-H-7523/home/106593923,Yes-MLS,4448065,N,Y,41.4858716,-81.7367798
MLS Listing,,Vacant Land,5515 Denison Ave,Cleveland,OH,44102,29900,,,Cleveland,,11151,,16,,,Active,,,https://www.redfin.com/OH/Cleveland/5515-Denison-Ave-44102/home/70733874,Yes-MLS,4448852,N,Y,41.4567169,-81.7270547
MLS Listing,,Single Family Residential,3221 W 88th St,Cleveland,OH,44102,59900,3,1.5,W J Land Denison Ave,,4586,1914,16,,,Active,,,https://www.redfin.com/OH/Cleveland/3221-W-88th-St-44102/home/70739734,Yes-MLS,4439691,N,Y,41.4661823,-81.7445993
MLS Listing,,Single Family Residential,6201 Wakefield Ave,Cleveland,OH,44102,329900,5,1.5,Hoyt,1924,3990,1912,16,171,,Active,,,https://www.redfin.com/OH/Cleveland/6201-Wakefield-Ave-44102/home/66436300,Yes-MLS,4448684,N,Y,41.4787494,-81.7289358
MLS Listing,,Single Family Residential,3233 W 52nd St,Cleveland,OH,44102,50000,2,1,James M Hoyts,1242,5000,1838,17,40,,Active,,,https://www.redfin.com/OH/Cleveland/3233-W-52nd-St-44102/home/66162052,Yes-MLS,4448318,N,Y,41.4659213,-81.722106
MLS Listing,,Single Family Residential,3632 W 45th St,Cleveland,OH,44102,83000,3,1,J H Hardys Allotment,1369,3402,1900,18,61,,Active,,,https://www.redfin.com/OH/Cleveland/3632-W-45th-St-44102/home/70739510,Yes-MLS,4435664,N,Y,41.455485,-81.7175205
MLS Listing,,Single Family Residential,7209 Franklin Blvd,Cleveland,OH,44102,399900,4,3,Jones Allotment,1453,4800,1920,19,275,,Active,,,https://www.redfin.com/OH/Cleveland/7209-Franklin-Blvd-44102/home/70720760,Yes-MLS,4444768,N,Y,41.4805334,-81.7348351
